,song_data,audio_feature,albums,artists
0nbXyq5TXYPCO7pr3N8S4I,"{'id': '0nbXyq5TXYPCO7pr3N8S4I', 'duration_ms': 196652, 'name': 'The Box', 'popularity': 84}","{'danceability': 0.896, 'energy': 0.586, 'loudness': -6.687, 'speechiness': 0.0559, 'acousticness': 0.104, 'instrumentalness': 0, 'liveness': 0.79, 'valence': 0.642, 'tempo': 116.971}","{'id': '52u4anZbHd6UInnmHRFzba', 'name': 'Please Excuse Me for Being Antisocial', 'release_date': '2019-12-06'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
3QzAOrNlsabgbMwlZt7TAY,"{'id': '3QzAOrNlsabgbMwlZt7TAY', 'duration_ms': 180434, 'name': ""Ballin' (with Roddy Ricch)"", 'popularity': 83}","{'danceability': 0.809, 'energy': 0.545, 'loudness': -6.678, 'speechiness': 0.0735, 'acousticness': 0.392, 'instrumentalness': 0, 'liveness': 0.151, 'valence': 0.244, 'tempo': 97.008}","{'id': '2WrNHOba5u6P9S9xEboaUy', 'name': 'Perfect Ten', 'release_date': '2019-06-28'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
32vE1nuG8T9c8bhmZdRY6d,"{'id': '32vE1nuG8T9c8bhmZdRY6d', 'duration_ms': 185857, 'name': 'Cooped Up (with Roddy Ricch)', 'popularity': 76}","{'danceability': 0.669, 'energy': 0.773, 'loudness': -5.619, 'speechiness': 0.153, 'acousticness': 0.038, 'instrumentalness': 0, 'liveness': 0.113, 'valence': 0.377, 'tempo': 93.923}","{'id': '3HHNR44YbP7XogMVwzbodx', 'name': 'Twelve Carat Toothache', 'release_date': '2022-06-03'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
1Z0cZI0UzNbP9L8MzzGxqf,"{'id': '1Z0cZI0UzNbP9L8MzzGxqf', 'duration_ms': 173288, 'name': 'Walk Em Down (feat. Roddy Ricch)', 'popularity': 75}","{'danceability': 0.867, 'energy': 0.744, 'loudness': -5.171, 'speechiness': 0.227, 'acousticness': 0.268, 'instrumentalness': 0, 'liveness': 0.0713, 'valence': 0.645, 'tempo': 84.005}","{'id': '4dsMe3EBC8xURaxMhyorgf', 'name': 'Top Shotta', 'release_date': '2020-08-10'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
4SWWe2OYC4mqf40Gc2RSdl,"{'id': '4SWWe2OYC4mqf40Gc2RSdl', 'duration_ms': 224002, 'name': 'Down Below', 'popularity': 77}","{'danceability': 0.926, 'energy': 0.454, 'loudness': -9.932, 'speechiness': 0.0732, 'acousticness': 0.036, 'instrumentalness': 0.000422, 'liveness': 0.0896, 'valence': 0.34, 'tempo': 119.969}","{'id': '1jlIU9p7PChTK3AeqNpnsX', 'name': 'Feed Tha Streets II', 'release_date': '2018-11-02'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
3xOEfEmsrLwf9jcG4gErdA,"{'id': '3xOEfEmsrLwf9jcG4gErdA', 'duration_ms': 218172, 'name': 'Pissy (feat. Roddy Ricch, Nardo Wick)', 'popularity': 76}","{'danceability': 0.812, 'energy': 0.63, 'loudness': -8.207, 'speechiness': 0.266, 'acousticness': 0.0224, 'instrumentalness': 0, 'liveness': 0.0699, 'valence': 0.332, 'tempo': 132.957}","{'id': '2dd8aKS08SH8ly3aNFpKl8', 'name': 'Pissy (feat. Roddy Ricch, Nardo Wick)', 'release_date': '2023-05-05'}","{'id': '13y7CgLHjMVRMDqxdx0Xdo', 'name': 'Gucci Mane'}"
6kksmL4t09IgxhajuVDDxR,"{'id': '6kksmL4t09IgxhajuVDDxR', 'duration_ms': 174549, 'name': 'late at night', 'popularity': 71}","{'danceability': 0.621, 'energy': 0.405, 'loudness': -11.26, 'speechiness': 0.437, 'acousticness': 0.382, 'instrumentalness': 0, 'liveness': 0.152, 'valence': 0.141, 'tempo': 98.427}","{'id': '1eVrpJbHRLBbioB9sb5b94', 'name': 'LIVE LIFE FAST', 'release_date': '2021-12-17'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
07KXEDMj78x68D884wgVEm,"{'id': '07KXEDMj78x68D884wgVEm', 'duration_ms': 220486, 'name': 'High Fashion (feat. Mustard)', 'popularity': 73}","{'danceability': 0.831, 'energy': 0.499, 'loudness': -8.442, 'speechiness': 0.114, 'acousticness': 0.269, 'instrumentalness': 0, 'liveness': 0.3, 'valence': 0.511, 'tempo': 97.956}","{'id': '52u4anZbHd6UInnmHRFzba', 'name': 'Please Excuse Me for Being Antisocial', 'release_date': '2019-12-06'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
1mAey8kEPmDM2icL56kS9d,"{'id': '1mAey8kEPmDM2icL56kS9d', 'duration_ms': 156367, 'name': '4 Da Gang (with Roddy Ricch)', 'popularity': 73}","{'danceability': 0.87, 'energy': 0.561, 'loudness': -10.388, 'speechiness': 0.186, 'acousticness': 0.0124, 'instrumentalness': 0, 'liveness': 0.103, 'valence': 0.691, 'tempo': 100.458}","{'id': '4zJiUubJvgUJNq0BVD9Mvs', 'name': 'Free Dem Boyz', 'release_date': '2021-05-21'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
7adbMZF8ctKOaEFBkA5Qxp,"{'id': '7adbMZF8ctKOaEFBkA5Qxp', 'duration_ms': 111709, 'name': 'Stop Breathing', 'popularity': 68}","{'danceability': 0.586, 'energy': 0.689, 'loudness': -6.04, 'speechiness': 0.425, 'acousticness': 0.0434, 'instrumentalness': 0, 'liveness': 0.184, 'valence': 0.456, 'tempo': 158.457}","{'id': '2ZiBfBw770CJC0f4SI1Tji', 'name': 'Feed Tha Streets III', 'release_date': '2022-11-18'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
2oWbOh3tLluqTdYL5OEDvs,"{'id': '2oWbOh3tLluqTdYL5OEDvs', 'duration_ms': 257120, 'name': 'A Bay Bay - Single Version', 'popularity': 53}","{'danceability': 0.577, 'energy': 0.668, 'loudness': -4.884, 'speechiness': 0.514, 'acousticness': 0.105, 'instrumentalness': 0, 'liveness': 0.0924, 'valence': 0.702, 'tempo': 60.709}","{'id': '7efn7gwDPXwdXBgfwyVoKQ', 'name': 'A Bay Bay', 'release_date': '2007-06-19'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
63XXvHR6FfiRDk5lKNNCMI,"{'id': '63XXvHR6FfiRDk5lKNNCMI', 'duration_ms': 281480, 'name': ""Halle Berry (She's Fine) (feat. Superstarr)"", 'popularity': 51}","{'danceability': 0.709, 'energy': 0.744, 'loudness': -5.905, 'speechiness': 0.134, 'acousticness': 0.0119, 'instrumentalness': 0, 'liveness': 0.0609, 'valence': 0.508, 'tempo': 145.112}","{'id': '4tX8assGk2HIZB1Hh2a5la', 'name': 'Unleashed', 'release_date': '2009-12-18'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
6oaRryJqMWpEHt99ViMX0c,"{'id': '6oaRryJqMWpEHt99ViMX0c', 'duration_ms': 306893, 'name': 'A Bay Bay', 'popularity': 43}","{'danceability': 0.615, 'energy': 0.696, 'loudness': -4.92, 'speechiness': 0.537, 'acousticness': 0.102, 'instrumentalness': 0, 'liveness': 0.13, 'valence': 0.722, 'tempo': 153.96}","{'id': '5LcmD1KwDZV4TZXuPSH24t', 'name': '51/50 Ratchet', 'release_date': '2007-10-16'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
0BmMF4Ela3cuq4t3Q7bVqb,"{'id': '0BmMF4Ela3cuq4t3Q7bVqb', 'duration_ms': 134384, 'name': 'My Bay', 'popularity': 42}","{'danceability': 0.735, 'energy': 0.723, 'loudness': -9.467, 'speechiness': 0.156, 'acousticness': 0.0192, 'instrumentalness': 1.23e-06, 'liveness': 0.25, 'valence': 0.43, 'tempo': 133.976}","{'id': '49Bx3XAdIoxzQTBL38qMnf', 'name': 'My Bay', 'release_date': '2022-03-15'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
67icOKI4mrLduc9ddfmY51,"{'id': '67icOKI4mrLduc9ddfmY51', 'duration_ms': 237080, 'name': 'Headboard (feat. Mario & Plies)', 'popularity': 34}","{'danceability': 0.645, 'energy': 0.682, 'loudness': -5.875, 'speechiness': 0.268, 'acousticness': 0.0501, 'instrumentalness': 0, 'liveness': 0.732, 'valence': 0.443, 'tempo': 82.074}","{'id': '4tX8assGk2HIZB1Hh2a5la', 'name': 'Unleashed', 'release_date': '2009-12-18'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
7qaRLED0RO0g3TIif4rkyH,"{'id': '7qaRLED0RO0g3TIif4rkyH', 'duration_ms': 204000, 'name': 'Sections (feat. Ty Dolla $Ign)', 'popularity': 25}","{'danceability': 0.593, 'energy': 0.602, 'loudness': -6.213, 'speechiness': 0.451, 'acousticness': 0.0121, 'instrumentalness': 0, 'liveness': 0.131, 'valence': 0.571, 'tempo': 193.33}","{'id': '5hPr7sDBjwGVnbA5XwAPsA', 'name': 'Sections (feat. Ty Dolla $Ign)', 'release_date': '2015-09-28'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
0sqW0ifkApl9dzYEDHBXqI,"{'id': '0sqW0ifkApl9dzYEDHBXqI', 'duration_ms': 153648, 'name': 'Lit', 'popularity': 20}","{'danceability': 0.808, 'energy': 0.673, 'loudness': -5.839, 'speechiness': 0.0505, 'acousticness': 0.000104, 'instrumentalness': 0, 'liveness': 0.125, 'valence': 0.309, 'tempo': 150.086}","{'id': '3Xn1fnw8wFJAYThGJ0wSFV', 'name': 'Lit', 'release_date': '2023-04-07'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
3vrM7ro6LjxCpBSBeLIfrx,"{'id': '3vrM7ro6LjxCpBSBeLIfrx', 'duration_ms': 254253, 'name': 'Coke Bottle (feat. Mouse)', 'popularity': 15}","{'danceability': 0.722, 'energy': 0.809, 'loudness': -3.793, 'speechiness': 0.262, 'acousticness': 0.0536, 'instrumentalness': 0, 'liveness': 0.0841, 'valence': 0.668, 'tempo': 153.973}","{'id': '4tX8assGk2HIZB1Hh2a5la', 'name': 'Unleashed', 'release_date': '2009-12-18'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
4hp8j244Wcnwp5U4jgFN1k,"{'id': '4hp8j244Wcnwp5U4jgFN1k', 'duration_ms': 196506, 'name': 'Beat It Out The Frame', 'popularity': 14}","{'danceability': 0.803, 'energy': 0.707, 'loudness': -5.966, 'speechiness': 0.0738, 'acousticness': 0.0014, 'instrumentalness': 0, 'liveness': 0.123, 'valence': 0.344, 'tempo': 93.004}","{'id': '4tX8assGk2HIZB1Hh2a5la', 'name': 'Unleashed', 'release_date': '2009-12-18'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
0589drn5Sy17CXVXor6m3M,"{'id': '0589drn5Sy17CXVXor6m3M', 'duration_ms': 196056, 'name': 'Jungle Fever', 'popularity': 14}","{'danceability': 0.926, 'energy': 0.554, 'loudness': -6.014, 'speechiness': 0.312, 'acousticness': 0.00909, 'instrumentalness': 0, 'liveness': 0.0885, 'valence': 0.568, 'tempo': 120.027}","{'id': '4mPfdh84HHm4hopc9kFlOY', 'name': 'Jungle Fever', 'release_date': '2022-07-11'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
3azJifCSqg9fRij2yKIbWz,"{'id': '3azJifCSqg9fRij2yKIbWz', 'duration_ms': 226466, 'name': 'The Color Violet', 'popularity': 89}","{'danceability': 0.645, 'energy': 0.534, 'loudness': -10.8, 'speechiness': 0.0479, 'acousticness': 0.157, 'instrumentalness': 0, 'liveness': 0.0863, 'valence': 0.463, 'tempo': 105.02}","{'id': '5Gm2XKBgnlzd6qTi7LE1z2', 'name': 'Alone At Prom', 'release_date': '2021-12-10'}","{'id': '2jku7tDXc6XoB6MO2hFuqg', 'name': 'Tory Lanez'}"
2MbdDtCv5LUVjYy9RuGTgC,"{'id': '2MbdDtCv5LUVjYy9RuGTgC', 'duration_ms': 227478, 'name': 'WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix', 'popularity': 75}","{'danceability': 0.904, 'energy': 0.723, 'loudness': -5.224, 'speechiness': 0.26, 'acousticness': 0.0631, 'instrumentalness': 0, 'liveness': 0.185, 'valence': 0.835, 'tempo': 145.013}","{'id': '36jrqYRpGVpJqztuqCii22', 'name': 'WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]', 'release_date': '2020-06-24'}","{'id': '2jku7tDXc6XoB6MO2hFuqg', 'name': 'Tory Lanez'}"
4xqIYGwwZTEem9U8A42SPF,"{'id': '4xqIYGwwZTEem9U8A42SPF', 'duration_ms': 132023, 'name': 'Broke In A Minute', 'popularity': 78}","{'danceability': 0.929, 'energy': 0.7, 'loudness': -5.595, 'speechiness': 0.0906, 'acousticness': 0.144, 'instrumentalness': 0, 'liveness': 0.349, 'valence': 0.802, 'tempo': 120.009}","{'id': '2TbrXjwWklhT7JrC5sdUkf', 'name': 'The New Toronto 3', 'release_date': '2020-04-10'}","{'id': '2jku7tDXc6XoB6MO2hFuqg', 'name': 'Tory Lanez'}"
2Gyc6e2cLxA5hoX1NOvYnU,"{'id': '2Gyc6e2cLxA5hoX1NOvYnU', 'duration_ms': 237786, 'name': 'Say It', 'popularity': 77}","{'danceability': 0.546, 'energy': 0.529, 'loudness': -10.511, 'speechiness': 0.0583, 'acousticness': 0.0862, 'instrumentalness': 6.5e-06, 'liveness': 0.124, 'valence': 0.247, 'tempo': 107.331}","{'id': '5tBOCi2TekXZ1IbrmlBZO4', 'name': 'I Told You', 'release_date': '2016-08-19'}","{'id': '2jku7tDXc6XoB6MO2hFuqg', 'name': 'Tory Lanez'}"
1au2UduxcvHfa0fZS3Szci,"{'id': '1au2UduxcvHfa0fZS3Szci', 'duration_ms': 151966, 'name': 'Lavender Sunflower', 'popularity': 77}","{'danceability': 0.607, 'energy': 0.735, 'loudness': -6.065, 'speechiness': 0.095, 'acousticness': 0.253, 'instrumentalness': 0, 'liveness': 0.11, 'valence': 0.964, 'tempo': 88.894}","{'id': '5Gm2XKBgnlzd6qTi7LE1z2', 'name': 'Alone At Prom', 'release_date': '2021-12-10'}","{'id': '2jku7tDXc6XoB6MO2hFuqg', 'name': 'Tory Lanez'}"
6ieWL5CLN9WdC875guWtMe,"{'id': '6ieWL5CLN9WdC875guWtMe', 'duration_ms': 193993, 'name': 'Lady Of Namek', 'popularity': 74}","{'danceability': 0.676, 'energy': 0.659, 'loudness': -5.123, 'speechiness': 0.0476, 'acousticness': 0.194, 'instrumentalness': 0, 'liveness': 0.283, 'valence': 0.595, 'tempo': 134.985}","{'id': '5Gm2XKBgnlzd6qTi7LE1z2', 'name': 'Alone At Prom', 'release_date': '2021-12-10'}","{'id': '2jku7tDXc6XoB6MO2hFuqg', 'name': 'Tory Lanez'}"
6ydWxkzjDktHsTzvWcaZ1i,"{'id': '6ydWxkzjDktHsTzvWcaZ1i', 'duration_ms': 293306, 'name': 'In For It', 'popularity': 73}","{'danceability': 0.383, 'energy': 0.531, 'loudness': -7.814, 'speechiness': 0.0741, 'acousticness': 0.0753, 'instrumentalness': 0.000102, 'liveness': 0.108, 'valence': 0.0375, 'tempo': 105.971}","{'id': '1zNQyKjH8md6OusODwlmfs', 'name': 'In For It', 'release_date': '2015-01-15'}","{'id': '2jku7tDXc6XoB6MO2hFuqg', 'name': 'Tory Lanez'}"
5uKHTLXNcftXtYfU7j9cQ6,"{'id': '5uKHTLXNcftXtYfU7j9cQ6', 'duration_ms': 133521, 'name': 'I LIKE', 'popularity': 72}","{'danceability': 0.744, 'energy': 0.448, 'loudness': -10.426, 'speechiness': 0.291, 'acousticness': 0.365, 'instrumentalness': 0, 'liveness': 0.194, 'valence': 0.279, 'tempo': 118.027}","{'id': '7B7P4TryG33IWOp5b8et8L', 'name': 'I LIKE', 'release_date': '2022-04-22'}","{'id': '2jku7tDXc6XoB6MO2hFuqg', 'name': 'Tory Lanez'}"
0Odu228D0yGcFySGuxU4rY,"{'id': '0Odu228D0yGcFySGuxU4rY', 'duration_ms': 221492, 'name': 'The Take (feat. Chris Brown)', 'popularity': 71}","{'danceability': 0.464, 'energy': 0.547, 'loudness': -8.137, 'speechiness': 0.339, 'acousticness': 0.0511, 'instrumentalness': 0, 'liveness': 0.155, 'valence': 0.423, 'tempo': 67.003}","{'id': '6vVhekA9LRg0MWIQaxI37f', 'name': 'Chixtape 5', 'release_date': '2019-11-15'}","{'id': '2jku7tDXc6XoB6MO2hFuqg', 'name': 'Tory Lanez'}"
4sMmYKC0ot3GTbl2RzHw7T,"{'id': '4sMmYKC0ot3GTbl2RzHw7T', 'duration_ms': 326813, 'name': 'And This is Just The Intro', 'popularity': 71}","{'danceability': 0.53, 'energy': 0.517, 'loudness': -9.253, 'speechiness': 0.399, 'acousticness': 0.387, 'instrumentalness': 0, 'liveness': 0.176, 'valence': 0.381, 'tempo': 137.554}","{'id': '0ccEYmcKK8UKt5zZ0lGgJ7', 'name': 'PLAYBOY', 'release_date': '2021-03-05'}","{'id': '2jku7tDXc6XoB6MO2hFuqg', 'name': 'Tory Lanez'}"
4NTWZqvfQTlOMitlVn6tew,"{'id': '4NTWZqvfQTlOMitlVn6tew', 'duration_ms': 239613, 'name': 'The Show Goes On', 'popularity': 72}","{'danceability': 0.591, 'energy': 0.889, 'loudness': -3.839, 'speechiness': 0.115, 'acousticness': 0.0189, 'instrumentalness': 0, 'liveness': 0.155, 'valence': 0.65, 'tempo': 143.067}","{'id': '1j0apvEvaWbTmlZpKsfr2D', 'name': 'Lasers', 'release_date': '2011-03-04'}","{'id': '01QTIT5P1pFP3QnnFSdsJf', 'name': 'Lupe Fiasco'}"
1hWYT0w2R0J19rlVkiez7X,"{'id': '1hWYT0w2R0J19rlVkiez7X', 'duration_ms': 250320, 'name': 'Battle Scars (with Guy Sebastian)', 'popularity': 70}","{'danceability': 0.517, 'energy': 0.811, 'loudness': -4.526, 'speechiness': 0.286, 'acousticness': 0.186, 'instrumentalness': 0, 'liveness': 0.105, 'valence': 0.494, 'tempo': 168.269}","{'id': '5rCCCernTo6IwFwEZM4H53', 'name': 'Food & Liquor II: The Great American Rap Album, Pt. 1', 'release_date': '2012-09-25'}","{'id': '01QTIT5P1pFP3QnnFSdsJf', 'name': 'Lupe Fiasco'}"
7dltD9eEX7X1zk8JJ9BS0e,"{'id': '7dltD9eEX7X1zk8JJ9BS0e', 'duration_ms': 289000, 'name': 'Superstar (feat. Matthew Santos)', 'popularity': 67}","{'danceability': 0.572, 'energy': 0.822, 'loudness': -6.015, 'speechiness': 0.361, 'acousticness': 0.207, 'instrumentalness': 0, 'liveness': 0.359, 'valence': 0.472, 'tempo': 94.812}","{'id': '0MihD70HInk2rDaChdAdEy', 'name': ""Lupe Fiasco's The Cool"", 'release_date': '2007-01-01'}","{'id': '01QTIT5P1pFP3QnnFSdsJf', 'name': 'Lupe Fiasco'}"
6nz35DNIzbtj5ztpDEcW1j,"{'id': '6nz35DNIzbtj5ztpDEcW1j', 'duration_ms': 254466, 'name': 'Kick, Push', 'popularity': 64}","{'danceability': 0.652, 'energy': 0.809, 'loudness': -5.276, 'speechiness': 0.17, 'acousticness': 0.164, 'instrumentalness': 0, 'liveness': 0.175, 'valence': 0.512, 'tempo': 94.786}","{'id': '0TDJRkEr2SrhWTetdkEzED', 'name': ""Lupe Fiasco's Food & Liquor"", 'release_date': '2006-06-27'}","{'id': '01QTIT5P1pFP3QnnFSdsJf', 'name': 'Lupe Fiasco'}"
50M2QjfSM82wkJ1d0iV4mh,"{'id': '50M2QjfSM82wkJ1d0iV4mh', 'duration_ms': 234306, 'name': ""Daydreamin' (feat. Jill Scott)"", 'popularity': 63}","{'danceability': 0.533, 'energy': 0.739, 'loudness': -3.573, 'speechiness': 0.0602, 'acousticness': 0.029, 'instrumentalness': 0, 'liveness': 0.266, 'valence': 0.617, 'tempo': 81.37}","{'id': '0TDJRkEr2SrhWTetdkEzED', 'name': ""Lupe Fiasco's Food & Liquor"", 'release_date': '2006-06-27'}","{'id': '01QTIT5P1pFP3QnnFSdsJf', 'name': 'Lupe Fiasco'}"
2WDEt2vKpQ3hUOeRFVRxQc,"{'id': '2WDEt2vKpQ3hUOeRFVRxQc', 'duration_ms': 170000, 'name': 'SentRock', 'popularity': 57}","{'danceability': 0.54, 'energy': 0.87, 'loudness': -5.813, 'speechiness': 0.125, 'acousticness': 0.0252, 'instrumentalness': 0.136, 'liveness': 0.253, 'valence': 0.168, 'tempo': 90.016}","{'id': '6FS38anvDEjBwNAOKfFPro', 'name': 'SentRock', 'release_date': '2023-04-28'}","{'id': '01QTIT5P1pFP3QnnFSdsJf', 'name': 'Lupe Fiasco'}"
6ZLp4KlQEtm7WxfyVQfp9U,"{'id': '6ZLp4KlQEtm7WxfyVQfp9U', 'duration_ms': 111021, 'name': 'GHOTI', 'popularity': 55}","{'danceability': 0.622, 'energy': 0.837, 'loudness': -7.123, 'speechiness': 0.341, 'acousticness': 0.339, 'instrumentalness': 0.00255, 'liveness': 0.0869, 'valence': 0.479, 'tempo': 83.131}","{'id': '0UennjqMxb1SAsaf7bsSwE', 'name': 'DRILL MUSIC IN ZION', 'release_date': '2022-06-24'}","{'id': '01QTIT5P1pFP3QnnFSdsJf', 'name': 'Lupe Fiasco'}"
2dXME00xUY1CRcMZsM3Y4q,"{'id': '2dXME00xUY1CRcMZsM3Y4q', 'duration_ms': 270653, 'name': 'Paris, Tokyo', 'popularity': 54}","{'danceability': 0.734, 'energy': 0.64, 'loudness': -7.638, 'speechiness': 0.182, 'acousticness': 0.0895, 'instrumentalness': 0, 'liveness': 0.173, 'valence': 0.351, 'tempo': 90.011}","{'id': '0MihD70HInk2rDaChdAdEy', 'name': ""Lupe Fiasco's The Cool"", 'release_date': '2007-01-01'}","{'id': '01QTIT5P1pFP3QnnFSdsJf', 'name': 'Lupe Fiasco'}"
6N3oYlfZ2RPdjMYdHCRmFS,"{'id': '6N3oYlfZ2RPdjMYdHCRmFS', 'duration_ms': 242506, 'name': 'Hip-Hop Saved My Life (feat. Nikki Jean)', 'popularity': 53}","{'danceability': 0.705, 'energy': 0.684, 'loudness': -5.759, 'speechiness': 0.145, 'acousticness': 0.0353, 'instrumentalness': 0, 'liveness': 0.206, 'valence': 0.246, 'tempo': 100.006}","{'id': '0MihD70HInk2rDaChdAdEy', 'name': ""Lupe Fiasco's The Cool"", 'release_date': '2007-01-01'}","{'id': '01QTIT5P1pFP3QnnFSdsJf', 'name': 'Lupe Fiasco'}"
51gbF0SxTmxgAguiWWUXPu,"{'id': '51gbF0SxTmxgAguiWWUXPu', 'duration_ms': 274909, 'name': 'Jump (feat. Gizzle)', 'popularity': 51}","{'danceability': 0.79, 'energy': 0.762, 'loudness': -5.704, 'speechiness': 0.243, 'acousticness': 0.0418, 'instrumentalness': 0, 'liveness': 0.087, 'valence': 0.96, 'tempo': 75.549}","{'id': '2utMSPHiSIHEg2vb9awgDi', 'name': 'DROGAS Light', 'release_date': '2017-02-10'}","{'id': '01QTIT5P1pFP3QnnFSdsJf', 'name': 'Lupe Fiasco'}"
2J6OF7CkpdQGSfm1wdclqn,"{'id': '2J6OF7CkpdQGSfm1wdclqn', 'duration_ms': 110128, 'name': 'Clouded', 'popularity': 85}","{'danceability': 0.583, 'energy': 0.344, 'loudness': -8.765, 'speechiness': 0.0559, 'acousticness': 0.774, 'instrumentalness': 0, 'liveness': 0.143, 'valence': 0.581, 'tempo': 65.203}","{'id': '3vi20DRHkqv4HyVg9Rt9wC', 'name': 'Fuck The World', 'release_date': '2020-02-07'}","{'id': '3tlXnStJ1fFhdScmQeLpuG', 'name': 'Brent Faiyaz'}"
2IlT65thKQQw248mhk2PjQ,"{'id': '2IlT65thKQQw248mhk2PjQ', 'duration_ms': 169013, 'name': 'JACKIE BROWN', 'popularity': 84}","{'danceability': 0.726, 'energy': 0.353, 'loudness': -10.273, 'speechiness': 0.105, 'acousticness': 0.65, 'instrumentalness': 0.002, 'liveness': 0.224, 'valence': 0.503, 'tempo': 137.66}","{'id': '0PHMNbcgHfzSUALlfk7wGg', 'name': 'WASTELAND', 'release_date': '2022-07-08'}","{'id': '3tlXnStJ1fFhdScmQeLpuG', 'name': 'Brent Faiyaz'}"
3XgGQ1wjo5khvq2UImjyNF,"{'id': '3XgGQ1wjo5khvq2UImjyNF', 'duration_ms': 216062, 'name': 'ALL MINE', 'popularity': 83}","{'danceability': 0.617, 'energy': 0.378, 'loudness': -8.54, 'speechiness': 0.0315, 'acousticness': 0.428, 'instrumentalness': 9.16e-05, 'liveness': 0.11, 'valence': 0.22, 'tempo': 141.967}","{'id': '0PHMNbcgHfzSUALlfk7wGg', 'name': 'WASTELAND', 'release_date': '2022-07-08'}","{'id': '3tlXnStJ1fFhdScmQeLpuG', 'name': 'Brent Faiyaz'}"
1N8klHEbZ0bFOHnMVs8C9S,"{'id': '1N8klHEbZ0bFOHnMVs8C9S', 'duration_ms': 121283, 'name': 'Fell In Love', 'popularity': 80}","{'danceability': 0.732, 'energy': 0.464, 'loudness': -9.722, 'speechiness': 0.0527, 'acousticness': 0.0899, 'instrumentalness': 3.1e-05, 'liveness': 0.0997, 'valence': 0.647, 'tempo': 149.954}","{'id': '4AkiEkHlDW2ZyPsO7iJct8', 'name': 'Fell In Love', 'release_date': '2023-05-05'}","{'id': '3tlXnStJ1fFhdScmQeLpuG', 'name': 'Brent Faiyaz'}"
3EG9FJ0ToLfgnc1IG2Z1wz,"{'id': '3EG9FJ0ToLfgnc1IG2Z1wz', 'duration_ms': 588139, 'name': 'SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)', 'popularity': 80}","{'danceability': 0.468, 'energy': 0.652, 'loudness': -4.912, 'speechiness': 0.0722, 'acousticness': 0.333, 'instrumentalness': 0.000318, 'liveness': 0.55, 'valence': 0.39, 'tempo': 140.223}","{'id': '45ba6QAtNrdv6Ke4MFOKk9', 'name': 'CALL ME IF YOU GET LOST', 'release_date': '2021-06-25'}","{'id': '3tlXnStJ1fFhdScmQeLpuG', 'name': 'Brent Faiyaz'}"
0oufSLnKQDoBFX5mgkDCgR,"{'id': '0oufSLnKQDoBFX5mgkDCgR', 'duration_ms': 158420, 'name': 'Trust', 'popularity': 81}","{'danceability': 0.764, 'energy': 0.394, 'loudness': -8.559, 'speechiness': 0.152, 'acousticness': 0.231, 'instrumentalness': 9.37e-05, 'liveness': 0.117, 'valence': 0.465, 'tempo': 92.009}","{'id': '03nFfkhtHqQZZqprep3G6r', 'name': 'Lost', 'release_date': '2018-10-19'}","{'id': '3tlXnStJ1fFhdScmQeLpuG', 'name': 'Brent Faiyaz'}"
