,song_data,audio_feature,albums,artists
6DCbkiyBGTDMul9ZsG6HIm,"{'id': '6DCbkiyBGTDMul9ZsG6HIm', 'duration_ms': 237413, 'name': 'Talkin’ Out Da Side Of Ya Neck', 'popularity': 37}","{'danceability': 0.864, 'energy': 0.404, 'loudness': -7.516, 'speechiness': 0.392, 'acousticness': 0.135, 'instrumentalness': 0, 'liveness': 0.132, 'valence': 0.27, 'tempo': 81.883}","{'id': '6Ws5tixaXZ7U91SJ5KfQF5', 'name': ""Talkin' Out Da Side Of Ya Neck"", 'release_date': '2007-01-01'}","{'id': '0VKTLKamj4IH8OfQbUL0kq', 'name': 'Dem Franchize Boyz'}"
6JGFcFjheSblckgDueqEB5,"{'id': '6JGFcFjheSblckgDueqEB5', 'duration_ms': 374266, 'name': 'Freaky As She Wanna Be', 'popularity': 28}","{'danceability': 0.489, 'energy': 0.533, 'loudness': -9.014, 'speechiness': 0.265, 'acousticness': 0.00247, 'instrumentalness': 0, 'liveness': 0.123, 'valence': 0.37, 'tempo': 159.038}","{'id': '0e0ks1xlvQBOsC3Gsw2EgA', 'name': 'On Top Of Our Game', 'release_date': '2006-01-01'}","{'id': '0VKTLKamj4IH8OfQbUL0kq', 'name': 'Dem Franchize Boyz'}"
3AoanjwMTeITOf0AFqCAPL,"{'id': '3AoanjwMTeITOf0AFqCAPL', 'duration_ms': 242213, 'name': ""45's, Choppaz & 9's"", 'popularity': 25}","{'danceability': 0.854, 'energy': 0.49, 'loudness': -6.84, 'speechiness': 0.317, 'acousticness': 0.0353, 'instrumentalness': 0, 'liveness': 0.123, 'valence': 0.413, 'tempo': 81.047}","{'id': '0j9KARfuyiIE6AWgbUwRhK', 'name': 'Dem Franchize Boyz', 'release_date': '2004-01-01'}","{'id': '0VKTLKamj4IH8OfQbUL0kq', 'name': 'Dem Franchize Boyz'}"
5mr7hIvvapvXgkYpaEsX0t,"{'id': '5mr7hIvvapvXgkYpaEsX0t', 'duration_ms': 294600, 'name': 'Bricks 4 The High', 'popularity': 23}","{'danceability': 0.5, 'energy': 0.726, 'loudness': -7.007, 'speechiness': 0.461, 'acousticness': 0.137, 'instrumentalness': 0, 'liveness': 0.377, 'valence': 0.574, 'tempo': 74.136}","{'id': '0e0ks1xlvQBOsC3Gsw2EgA', 'name': 'On Top Of Our Game', 'release_date': '2006-01-01'}","{'id': '0VKTLKamj4IH8OfQbUL0kq', 'name': 'Dem Franchize Boyz'}"
1xzBco0xcoJEDXktl7Jxrr,"{'id': '1xzBco0xcoJEDXktl7Jxrr', 'duration_ms': 183906, 'name': 'Mo Bamba', 'popularity': 81}","{'danceability': 0.729, 'energy': 0.625, 'loudness': -5.266, 'speechiness': 0.0315, 'acousticness': 0.194, 'instrumentalness': 0.00986, 'liveness': 0.248, 'valence': 0.261, 'tempo': 146.034}","{'id': '15Id9Jrqab8IwHFirdrrLp', 'name': 'MUDBOY', 'release_date': '2018-10-05'}","{'id': '2RDOrhPqAM4jzTRCEb19qX', 'name': 'Sheck Wes'}"
1BzXvBpIFWJgu0P8P6xmP4,"{'id': '1BzXvBpIFWJgu0P8P6xmP4', 'duration_ms': 309322, 'name': 'Stick (with JID & J. Cole feat. Kenny Mason & Sheck Wes)', 'popularity': 68}","{'danceability': 0.671, 'energy': 0.857, 'loudness': -5.435, 'speechiness': 0.292, 'acousticness': 0.266, 'instrumentalness': 0, 'liveness': 0.668, 'valence': 0.597, 'tempo': 118.574}","{'id': '3tFjhFPqGhhLrCULnPu7Wy', 'name': 'D-Day: A Gangsta Grillz Mixtape', 'release_date': '2022-03-31'}","{'id': '1iNqsUDUraNWrj00bqssQG', 'name': 'Dreamville'}"
6uJONCdr2rC65BNmCnTBWK,"{'id': '6uJONCdr2rC65BNmCnTBWK', 'duration_ms': 244760, 'name': 'GANG GANG', 'popularity': 68}","{'danceability': 0.859, 'energy': 0.6, 'loudness': -4.63, 'speechiness': 0.301, 'acousticness': 0.071, 'instrumentalness': 0, 'liveness': 0.353, 'valence': 0.568, 'tempo': 123.017}","{'id': '1Sf8GsXG32t0jNrX11xqWx', 'name': 'JACKBOYS', 'release_date': '2019-12-27'}","{'id': '2RDOrhPqAM4jzTRCEb19qX', 'name': 'Sheck Wes'}"
1dhO5lyN2Otv4qR0xWQXH7,"{'id': '1dhO5lyN2Otv4qR0xWQXH7', 'duration_ms': 147346, 'name': 'Live Sheck Wes', 'popularity': 60}","{'danceability': 0.781, 'energy': 0.617, 'loudness': -7.82, 'speechiness': 0.252, 'acousticness': 0.000732, 'instrumentalness': 0.0467, 'liveness': 0.158, 'valence': 0.506, 'tempo': 139.973}","{'id': '15Id9Jrqab8IwHFirdrrLp', 'name': 'MUDBOY', 'release_date': '2018-10-05'}","{'id': '2RDOrhPqAM4jzTRCEb19qX', 'name': 'Sheck Wes'}"
07AQbb8xIEj3bF082KEwJp,"{'id': '07AQbb8xIEj3bF082KEwJp', 'duration_ms': 273746, 'name': 'WESPN', 'popularity': 58}","{'danceability': 0.655, 'energy': 0.526, 'loudness': -7.216, 'speechiness': 0.239, 'acousticness': 0.472, 'instrumentalness': 0.00104, 'liveness': 0.0984, 'valence': 0.675, 'tempo': 161.808}","{'id': '15Id9Jrqab8IwHFirdrrLp', 'name': 'MUDBOY', 'release_date': '2018-10-05'}","{'id': '2RDOrhPqAM4jzTRCEb19qX', 'name': 'Sheck Wes'}"
5w8wL9IpVlOerzOzOvkjvG,"{'id': '5w8wL9IpVlOerzOzOvkjvG', 'duration_ms': 248053, 'name': 'Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)', 'popularity': 54}","{'danceability': 0.785, 'energy': 0.726, 'loudness': -4.209, 'speechiness': 0.0387, 'acousticness': 0.0739, 'instrumentalness': 4.01e-06, 'liveness': 0.316, 'valence': 0.181, 'tempo': 119.963}","{'id': '2MFS6WG6jnPAgvJpV3PehR', 'name': 'Carte Blanche', 'release_date': '2019-07-25'}","{'id': '2RDOrhPqAM4jzTRCEb19qX', 'name': 'Sheck Wes'}"
