,artist_id,artist_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5xUMw9vaS567MBBjsoLslo,5xUMw9vaS567MBBjsoLslo,Yung L.A.,0.61,0.62,-7.47,0.25,0.08,0.0,0.33,0.41,107.27
1HDAqfZv7HAtePsVGTgRPY,1HDAqfZv7HAtePsVGTgRPY,Ranking Dread,0.73,0.66,-6.8,0.18,0.18,0.0,0.17,0.58,130.61
4uvNcse2ZUIrUR6rfw9Ns2,4uvNcse2ZUIrUR6rfw9Ns2,Half Dead Organization,0.72,0.86,-5.5,0.15,0.04,0.0,0.25,0.61,145.56
0Bcs376c8LqOdFqtFvg4Nw,0Bcs376c8LqOdFqtFvg4Nw,Anthony Johnson,0.79,0.48,-8.6,0.1,0.17,0.01,0.16,0.74,111.55
1zxOgXoQBXnugFcqgOYXmG,1zxOgXoQBXnugFcqgOYXmG,OG Spanish Fly,0.72,0.57,-7.28,0.23,0.14,0.0,0.4,0.53,108.8
1cvdnitvOQm3hA67H4izQT,1cvdnitvOQm3hA67H4izQT,Carlton Livingston,0.8,0.48,-9.63,0.14,0.08,0.22,0.15,0.76,124.52
1t08tlxwGZO3Y6m8jDv94k,1t08tlxwGZO3Y6m8jDv94k,Peter Broggs,0.8,0.65,-7.56,0.07,0.11,0.06,0.14,0.84,138.18
4tSvkaLfya4H6Lf1LBwqzc,4tSvkaLfya4H6Lf1LBwqzc,Mr. Sancho,0.69,0.65,-7.24,0.09,0.2,0.0,0.1,0.55,115.48
3H07rdDFsE8FtMNGBBcuSl,3H07rdDFsE8FtMNGBBcuSl,Twisted Black,0.6,0.71,-6.96,0.31,0.1,0.0,0.23,0.55,108.3
3b38SpMicvgZy3oWJZoCe5,3b38SpMicvgZy3oWJZoCe5,Lil Vandal,0.83,0.73,-5.9,0.15,0.11,0.0,0.11,0.69,107.85
3ykdYhlVieu2rlYCi5HZnT,3ykdYhlVieu2rlYCi5HZnT,Lil Blacky,0.76,0.65,-7.4,0.2,0.03,0.0,0.17,0.57,133.12
0ZvobuPpnh1X20UpQnXkRx,0ZvobuPpnh1X20UpQnXkRx,Lil Sicko,0.74,0.68,-6.8,0.21,0.05,0.01,0.24,0.5,101.25
4XYAHJ4gEIiQ7QxMIo06XO,4XYAHJ4gEIiQ7QxMIo06XO,Mr. Vic,0.87,0.58,-9.29,0.2,0.22,0.04,0.25,0.65,105.73
1LLLSWPhaDaK6GptiHF6E7,1LLLSWPhaDaK6GptiHF6E7,DJ Sancho,0.71,0.72,-6.64,0.08,0.15,0.06,0.16,0.7,122.1
67nwj3Y5sZQLl72VNUHEYE,67nwj3Y5sZQLl72VNUHEYE,Wale,0.62,0.68,-6.6,0.24,0.34,0.0,0.23,0.49,117.9
77Q0tJ9AgFRUckAoOrZXly,77Q0tJ9AgFRUckAoOrZXly,Lacksley Castell,0.86,0.34,-13.02,0.2,0.06,0.0,0.1,0.78,124.83
0c173mlxpT3dSFRgMO8XPh,0c173mlxpT3dSFRgMO8XPh,Big Sean,0.75,0.62,-5.96,0.15,0.12,0.0,0.3,0.4,115.4
4Yj490bi1KL0QpDnVOtHyr,4Yj490bi1KL0QpDnVOtHyr,Big Moe,0.76,0.63,-6.19,0.2,0.18,0.0,0.21,0.7,113.89
2O4dqwxUZfCpuTh69wziNi,2O4dqwxUZfCpuTh69wziNi,Central Coast Clique,0.91,0.63,-9.77,0.18,0.22,0.01,0.12,0.7,100.4
1RhOh9I75vVWEDmzRVkRUz,1RhOh9I75vVWEDmzRVkRUz,Ms Krazie,0.83,0.64,-6.79,0.16,0.31,0.01,0.12,0.5,110.25
6Z9287LBwWASy6HeP0wHl6,6Z9287LBwWASy6HeP0wHl6,Trinity Garden Cartel,0.8,0.52,-12.07,0.3,0.03,0.0,0.23,0.59,131.3
50XrkABrDEY9r7qboHQpS9,50XrkABrDEY9r7qboHQpS9,Mikey Melody,0.73,0.55,-8.98,0.2,0.05,0.1,0.1,0.77,129.1
7a6In9UVdQx5TpBGLZT2RZ,7a6In9UVdQx5TpBGLZT2RZ,Keith Hudson,0.77,0.56,-9.65,0.08,0.17,0.5,0.23,0.65,133.66
2ioz5NKUj6650H80elrBGd,2ioz5NKUj6650H80elrBGd,Mr. Pookie,0.85,0.54,-8.1,0.16,0.07,0.0,0.17,0.62,110.6
6tBnRI3ubWYclKSbGvGtKd,6tBnRI3ubWYclKSbGvGtKd,Soulja Slim,0.77,0.73,-6.54,0.28,0.08,0.0,0.15,0.67,126.76
4AllEJE7mVkhhyUV6DjqPz,4AllEJE7mVkhhyUV6DjqPz,D4L,0.81,0.54,-8.25,0.22,0.08,0.0,0.18,0.55,112.44
1hkxikPwIf5AXt64h8eGqC,1hkxikPwIf5AXt64h8eGqC,U-Brown,0.8,0.67,-7.42,0.1,0.25,0.0,0.14,0.81,112.34
1QQPw7dqPmlRXBxL6QoX7a,1QQPw7dqPmlRXBxL6QoX7a,Clika One,0.74,0.68,-6.36,0.23,0.14,0.0,0.21,0.57,107.96
11jdOu8MP8ZaSNrUeq4JXA,11jdOu8MP8ZaSNrUeq4JXA,Charlie Row Campo,0.71,0.7,-5.83,0.23,0.35,0.03,0.27,0.65,94.1
0PGtMx1bsqoCHCy3MB3gXA,0PGtMx1bsqoCHCy3MB3gXA,Unk,0.74,0.79,-4.9,0.16,0.14,0.0,0.25,0.64,125.07
6MrdwyCIKbpXmTKQBlG3uq,6MrdwyCIKbpXmTKQBlG3uq,Z-Ro,0.72,0.69,-5.91,0.23,0.28,0.0,0.24,0.53,101.05
4VI3MaFLcxU9LRzQQ6r2ri,4VI3MaFLcxU9LRzQQ6r2ri,Doll-E Girl,0.69,0.63,-6.12,0.1,0.44,0.0,0.26,0.68,107.6
5QRuZQGn0xYKdLws2XBehT,5QRuZQGn0xYKdLws2XBehT,Frank V,0.71,0.73,-5.94,0.29,0.1,0.04,0.18,0.6,114.34
0nrUyKsdgzlKT6KpTcPhjA,0nrUyKsdgzlKT6KpTcPhjA,Big Mike,0.77,0.59,-11.62,0.27,0.11,0.01,0.12,0.63,97.58
2pMdEjYT6hChYxk01MdZ3v,2pMdEjYT6hChYxk01MdZ3v,Sammy Dread,0.77,0.49,-11.46,0.11,0.21,0.1,0.19,0.6,121.71
09My0T8N3gNusVZtEiprhc,09My0T8N3gNusVZtEiprhc,Yungstar,0.73,0.56,-8.41,0.26,0.27,0.0,0.16,0.53,111.06
4VIcSZlwRxIF6gPgtwSrbq,4VIcSZlwRxIF6gPgtwSrbq,Dat Boi T,0.7,0.67,-6.46,0.16,0.16,0.0,0.19,0.52,135.2
7uONR1e6cHKpBz52pRJRp1,7uONR1e6cHKpBz52pRJRp1,Young Spanks,0.86,0.63,-6.4,0.28,0.11,0.0,0.1,0.52,123.14
7cTUKWe96m3QwHMkDPnw8l,7cTUKWe96m3QwHMkDPnw8l,Big Mello,0.78,0.59,-9.62,0.2,0.19,0.05,0.14,0.63,109.39
6okYliJaC9bNemn3hTDw73,6okYliJaC9bNemn3hTDw73,Califa Thugs,0.69,0.63,-5.85,0.17,0.22,0.0,0.11,0.6,115.49
45a6gCQWq61lIUDmr1tKuO,45a6gCQWq61lIUDmr1tKuO,Bun B,0.62,0.75,-4.75,0.25,0.04,0.0,0.33,0.48,105.29
0k7Xl1pqI3tu8sSEjo5oEg,0k7Xl1pqI3tu8sSEjo5oEg,Paul Wall,0.79,0.65,-6.51,0.2,0.14,0.0,0.16,0.62,111.28
6d3FI9DOuk0lnWe86Cv9ow,6d3FI9DOuk0lnWe86Cv9ow,Mr. Trippalot,0.7,0.68,-6.07,0.23,0.38,0.0,0.27,0.69,102.01
1Yg9lgBUJBpWJc2jcfrVra,1Yg9lgBUJBpWJc2jcfrVra,Mister D,0.65,0.65,-7.46,0.22,0.13,0.0,0.21,0.54,112.37
6cwlhbT6PnscdmUYCLUJsa,6cwlhbT6PnscdmUYCLUJsa,Bone Crusher,0.59,0.86,-4.24,0.13,0.0,0.0,0.32,0.54,125.25
2qUfyLUGgzdl230mYZsu82,2qUfyLUGgzdl230mYZsu82,Michael Prophet,0.75,0.59,-8.28,0.15,0.12,0.02,0.2,0.76,113.0
4NEGuRxAh0Td4U8LbSOfWM,4NEGuRxAh0Td4U8LbSOfWM,Ese Lil Joker,0.91,0.48,-10.73,0.31,0.14,0.0,0.23,0.75,106.75
1n9X1anDuLnVJNafUzvX5R,1n9X1anDuLnVJNafUzvX5R,Ms. Sancha,0.81,0.54,-8.06,0.11,0.22,0.0,0.2,0.62,114.93
0zFJoHE7ueSHeuGJBf0GOD,0zFJoHE7ueSHeuGJBf0GOD,Slush The Villain,0.8,0.71,-6.14,0.23,0.13,0.0,0.19,0.55,91.47
5c6zqnWXNHg6PJrJtAARpk,5c6zqnWXNHg6PJrJtAARpk,Chalie Boy,0.73,0.58,-8.1,0.19,0.11,0.0,0.29,0.69,132.47
1AMMMSq3rJdZtFGnBXEkz7,1AMMMSq3rJdZtFGnBXEkz7,King Tubby,0.75,0.52,-10.01,0.1,0.11,0.6,0.09,0.6,123.76
1FXbr9bAubAE16DXzUS97d,1FXbr9bAubAE16DXzUS97d,Wreckshop Family,0.67,0.62,-7.18,0.38,0.23,0.0,0.47,0.56,118.31
3jahzTuztFVegfKXChatkY,3jahzTuztFVegfKXChatkY,Trillville,0.77,0.68,-7.4,0.25,0.14,0.0,0.26,0.69,106.29
0BqIo7Wcnd2W8JPUXDHBUi,0BqIo7Wcnd2W8JPUXDHBUi,Big Lokote,0.73,0.67,-7.4,0.22,0.12,0.09,0.21,0.42,108.28
3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,Drake,0.7,0.54,-7.77,0.17,0.08,0.01,0.23,0.34,128.14
0tsdit2ueGK3CtFt1ueg0y,0tsdit2ueGK3CtFt1ueg0y,Tela,0.74,0.61,-6.82,0.19,0.06,0.0,0.2,0.49,100.93
