,artist_id,artist_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3Wchq8WS6gi5nqA9pm6MQR,3Wchq8WS6gi5nqA9pm6MQR,Jah Stitch,0.74,0.52,-9.68,0.16,0.06,0.3,0.15,0.52,129.58
1fQvySchcTCuCk6tmnD17a,1fQvySchcTCuCk6tmnD17a,P.K.O.,0.78,0.59,-11.57,0.21,0.16,0.0,0.14,0.71,93.34
07VmOvmuBp9G0gb8BTrpn0,07VmOvmuBp9G0gb8BTrpn0,Mike Jones,0.74,0.71,-5.67,0.25,0.1,0.0,0.19,0.61,135.27
7tycJ8FDKH2GES20CnUa4D,7tycJ8FDKH2GES20CnUa4D,GT Garza,0.67,0.68,-5.69,0.17,0.08,0.0,0.24,0.43,126.02
31fdxsfcJFrOpgvwtQf5mv,31fdxsfcJFrOpgvwtQf5mv,PSK-13,0.77,0.56,-9.38,0.35,0.09,0.07,0.23,0.44,107.92
38HFp5OVCJTRO3GqFiOKdr,38HFp5OVCJTRO3GqFiOKdr,Young Trav,0.72,0.61,-8.52,0.22,0.15,0.0,0.16,0.44,115.21
0xJuAKhVgEfuiEXjyLEuC6,0xJuAKhVgEfuiEXjyLEuC6,Dennis Bovell,0.76,0.46,-13.63,0.19,0.11,0.33,0.14,0.66,113.24
42I1ZZbNNwRgJ4ERtk9l92,42I1ZZbNNwRgJ4ERtk9l92,Mister One,0.73,0.73,-6.03,0.13,0.11,0.51,0.15,0.65,118.54
53vU7rkyiBnzwJiNRtsVhP,53vU7rkyiBnzwJiNRtsVhP,El Dreamer,0.7,0.58,-9.22,0.11,0.29,0.0,0.19,0.57,122.25
266KnFu1bjR3mOqfh8UUP5,266KnFu1bjR3mOqfh8UUP5,Bam,0.71,0.71,-6.69,0.14,0.15,0.06,0.26,0.46,124.63
5oNgAs7j5XcBMzWv3HAnHG,5oNgAs7j5XcBMzWv3HAnHG,DJ Drama,0.6,0.64,-7.16,0.24,0.19,0.0,0.25,0.4,124.54
2VOFT3lVhcMPRoUo0vj0f7,2VOFT3lVhcMPRoUo0vj0f7,Ranking Joe,0.82,0.71,-6.7,0.1,0.16,0.0,0.22,0.84,143.86
0st5vgzw9XkH5ALJiUM1lE,0st5vgzw9XkH5ALJiUM1lE,Slim Thug,0.72,0.65,-5.45,0.24,0.1,0.0,0.18,0.39,127.0
3AdY4ZU741vIdM0oUNIDns,3AdY4ZU741vIdM0oUNIDns,New Ridaz,0.7,0.65,-5.6,0.08,0.21,0.0,0.12,0.62,128.47
6r0GI8lrFiaEcd4WJ5m3vo,6r0GI8lrFiaEcd4WJ5m3vo,Lone Star Ridaz,0.76,0.62,-6.32,0.23,0.11,0.0,0.19,0.51,122.16
72kiVqCJIy9eOnmLp8r0h7,72kiVqCJIy9eOnmLp8r0h7,The Revolutionaries,0.77,0.51,-11.28,0.07,0.03,0.82,0.11,0.72,127.87
2AAz6qvs77EPQh8pFoaj54,2AAz6qvs77EPQh8pFoaj54,Screwed Up Click,0.68,0.68,-6.63,0.29,0.11,0.02,0.2,0.61,112.38
2p0CE2108OEkCLDkmCtTOC,2p0CE2108OEkCLDkmCtTOC,Lil Menace,0.73,0.68,-5.87,0.16,0.11,0.0,0.2,0.61,119.94
